Date,Total,Coronavirus
2020-04-01T08:56:31-05:00,176997,171
2020-04-01T09:26:37-05:00,176997,171
2020-04-01T09:56:43-05:00,176997,171
2020-04-01T10:26:49-05:00,176997,171
2020-04-01T10:56:55-05:00,177408,170
2020-04-01T11:27:01-05:00,177408,170
2020-04-01T11:57:07-05:00,177408,170
2020-04-01T12:27:13-05:00,177408,170
2020-04-01T12:57:19-05:00,177408,170
2020-04-01T13:27:25-05:00,177408,170
2020-04-01T13:57:31-05:00,177408,170
2020-04-01T14:27:37-05:00,177408,170
2020-04-01T14:57:44-05:00,177924,173
2020-04-01T15:27:51-05:00,177924,173
2020-04-01T15:57:57-05:00,177924,173
2020-04-01T16:28:03-05:00,177924,173
2020-04-01T16:58:09-05:00,177924,173
2020-04-01T17:28:15-05:00,177924,173
2020-04-01T17:58:21-05:00,177924,173
2020-04-01T18:28:27-05:00,177924,173
2020-04-01T18:58:33-05:00,178453,174
2020-04-01T19:28:40-05:00,178453,174
2020-04-01T19:58:46-05:00,178453,174
2020-04-01T20:28:52-05:00,178453,174
2020-04-01T20:58:58-05:00,178453,174
2020-04-01T21:29:04-05:00,178453,174
